gene	RCP	LCP
ENSG00000269894	  1.000	  1.000
ENSG00000163703	  1.000	  1.000
ENSG00000204351	  0.018	  1.000
ENSG00000163354	  0.944	  1.000
ENSG00000168899	  0.663	  1.000
ENSG00000177311	  0.153	  0.999
ENSG00000162613	  0.050	  0.999
ENSG00000198945	  0.998	  0.998
ENSG00000146535	  0.104	  0.996
ENSG00000117122	  0.056	  0.996
ENSG00000103245	  0.964	  0.995
ENSG00000245680	  0.177	  0.995
ENSG00000198860	  0.072	  0.991
ENSG00000165801	  0.295	  0.989
ENSG00000112977	  0.984	  0.984
ENSG00000132386	  0.480	  0.984
ENSG00000159363	  0.063	  0.978
ENSG00000073050	  0.498	  0.978
ENSG00000183386	  0.977	  0.977
ENSG00000186577	  0.011	  0.975
ENSG00000159202	  0.041	  0.965
ENSG00000119147	  0.955	  0.955
ENSG00000104853	  0.381	  0.942
ENSG00000243795	  0.723	  0.941
ENSG00000128274	  0.086	  0.936
ENSG00000196967	  0.116	  0.936
ENSG00000186212	  0.559	  0.935
ENSG00000162869	  0.915	  0.915
ENSG00000171206	  0.116	  0.915
ENSG00000234028	  0.569	  0.913
ENSG00000176472	  0.605	  0.912
ENSG00000124733	  0.149	  0.910
ENSG00000169738	  0.070	  0.903
ENSG00000126460	  0.837	  0.901
ENSG00000134222	  0.622	  0.900
ENSG00000176909	  0.696	  0.898
ENSG00000137309	  0.001	  0.892
ENSG00000101367	  0.754	  0.888
ENSG00000230082	  0.886	  0.886
ENSG00000235106	  0.619	  0.883
ENSG00000107679	  0.880	  0.880
ENSG00000135835	  0.857	  0.880
ENSG00000113083	  0.590	  0.877
ENSG00000233016	  0.876	  0.877
ENSG00000070950	  0.347	  0.870
ENSG00000198517	  0.182	  0.867
ENSG00000107959	  0.860	  0.860
ENSG00000276293	  0.803	  0.856
ENSG00000183520	  0.251	  0.852
ENSG00000116883	  0.826	  0.842
ENSG00000142694	  0.808	  0.834
ENSG00000124702	  0.184	  0.829
ENSG00000177951	  0.829	  0.829
ENSG00000081692	  0.006	  0.827
ENSG00000184661	  0.065	  0.826
ENSG00000126464	  0.648	  0.826
ENSG00000145604	  0.158	  0.824
ENSG00000122870	  0.121	  0.824
ENSG00000115464	  0.042	  0.820
ENSG00000105538	  0.516	  0.819
ENSG00000275437	  0.485	  0.819
ENSG00000173145	  0.642	  0.816
ENSG00000146054	  0.734	  0.816
ENSG00000155542	  0.340	  0.811
ENSG00000270265	  0.158	  0.808
ENSG00000273619	  0.683	  0.802
ENSG00000265678	  0.075	  0.802
ENSG00000131899	  0.198	  0.798
ENSG00000183955	  0.271	  0.785
ENSG00000185163	  0.729	  0.779
ENSG00000168036	  0.201	  0.779
ENSG00000127415	  0.610	  0.773
ENSG00000151632	  0.769	  0.769
ENSG00000134825	  0.255	  0.767
ENSG00000173404	  0.496	  0.767
ENSG00000135698	  0.429	  0.767
ENSG00000105173	  0.516	  0.758
ENSG00000239713	  0.387	  0.741
ENSG00000138032	  0.082	  0.739
ENSG00000271151	  0.609	  0.737
ENSG00000179119	  0.472	  0.734
ENSG00000165424	  0.107	  0.730
ENSG00000135074	  0.127	  0.714
ENSG00000182109	  0.027	  0.710
ENSG00000133313	  0.709	  0.709
ENSG00000155850	  0.452	  0.708
ENSG00000073067	  0.707	  0.708
ENSG00000142233	  0.706	  0.706
ENSG00000183150	  0.428	  0.705
ENSG00000183431	  0.011	  0.703
ENSG00000257727	  0.163	  0.687
ENSG00000237984	  0.312	  0.682
ENSG00000236208	  0.592	  0.681
ENSG00000174106	  0.055	  0.678
ENSG00000171217	  0.230	  0.677
ENSG00000155363	  0.259	  0.668
ENSG00000283602	  0.339	  0.663
ENSG00000131435	  0.311	  0.663
ENSG00000139187	  0.176	  0.650
ENSG00000242142	  0.146	  0.645
ENSG00000253161	  0.252	  0.638
ENSG00000176531	  0.065	  0.632
ENSG00000151208	  0.371	  0.631
ENSG00000131242	  0.076	  0.620
ENSG00000260947	  0.175	  0.619
ENSG00000070831	  0.003	  0.616
ENSG00000166166	  0.175	  0.616
ENSG00000107443	  0.031	  0.612
ENSG00000197208	  0.363	  0.609
ENSG00000136542	  0.413	  0.608
ENSG00000127080	  0.530	  0.607
ENSG00000165606	  0.607	  0.607
ENSG00000146733	  0.299	  0.606
ENSG00000110944	  0.137	  0.605
ENSG00000129351	  0.024	  0.603
ENSG00000260581	  0.475	  0.603
ENSG00000130177	  0.542	  0.600
ENSG00000248677	  0.092	  0.598
ENSG00000140575	  0.594	  0.595
ENSG00000065243	  0.317	  0.588
ENSG00000112640	  0.087	  0.585
ENSG00000228290	  0.180	  0.584
ENSG00000280061	  0.271	  0.583
ENSG00000140961	  0.323	  0.578
ENSG00000242696	  0.096	  0.577
ENSG00000130294	  0.061	  0.575
ENSG00000272914	  0.174	  0.564
ENSG00000181754	  0.558	  0.558
ENSG00000152763	  0.250	  0.557
ENSG00000164099	  0.153	  0.555
ENSG00000204366	  0.012	  0.551
ENSG00000156599	  0.333	  0.550
ENSG00000114790	  0.136	  0.547
ENSG00000008710	  0.008	  0.544
ENSG00000198121	  0.430	  0.543
ENSG00000170581	  0.215	  0.542
ENSG00000261766	  0.141	  0.539
ENSG00000228716	  0.404	  0.535
ENSG00000244515	  0.157	  0.533
ENSG00000111877	  0.134	  0.529
ENSG00000255423	  0.152	  0.528
ENSG00000159713	  0.104	  0.527
ENSG00000146731	  0.523	  0.523
ENSG00000162616	  0.034	  0.521
ENSG00000115084	  0.327	  0.517
ENSG00000143126	  0.514	  0.514
ENSG00000135469	  0.186	  0.511
ENSG00000134243	  0.507	  0.507
ENSG00000136160	  0.122	  0.507
ENSG00000198793	  0.091	  0.503
ENSG00000178188	  0.130	  0.500
ENSG00000175573	  0.384	  0.498
ENSG00000118263	  0.125	  0.490
ENSG00000107742	  0.222	  0.490
ENSG00000185347	  0.199	  0.488
ENSG00000176720	  0.260	  0.471
ENSG00000267100	  0.242	  0.470
ENSG00000165185	  0.216	  0.469
ENSG00000109919	  0.111	  0.466
ENSG00000184517	  0.462	  0.466
ENSG00000164244	  0.232	  0.465
ENSG00000246339	  0.382	  0.450
ENSG00000136731	  0.316	  0.446
ENSG00000071054	  0.074	  0.445
ENSG00000279233	  0.441	  0.441
ENSG00000182093	  0.313	  0.435
ENSG00000215045	  0.279	  0.434
ENSG00000105672	  0.009	  0.434
ENSG00000135111	  0.034	  0.432
ENSG00000257303	  0.156	  0.432
ENSG00000250222	  0.022	  0.431
ENSG00000146729	  0.281	  0.429
ENSG00000172071	  0.024	  0.427
ENSG00000114107	  0.172	  0.427
ENSG00000049618	  0.045	  0.426
ENSG00000165661	  0.294	  0.421
ENSG00000106780	  0.282	  0.420
ENSG00000149930	  0.018	  0.419
ENSG00000197168	  0.347	  0.419
ENSG00000111802	  0.292	  0.415
ENSG00000227110	  0.173	  0.415
ENSG00000105722	  0.079	  0.407
ENSG00000275106	  0.216	  0.407
ENSG00000143198	  0.277	  0.405
ENSG00000100281	  0.225	  0.401
ENSG00000163660	  0.098	  0.399
ENSG00000067113	  0.014	  0.399
ENSG00000091536	  0.366	  0.399
ENSG00000117280	  0.223	  0.398
ENSG00000112414	  0.355	  0.398
ENSG00000163933	  0.083	  0.397
ENSG00000092140	  0.110	  0.397
ENSG00000135587	  0.275	  0.396
ENSG00000149485	  0.137	  0.392
ENSG00000113140	  0.115	  0.391
ENSG00000243176	  0.073	  0.390
ENSG00000119471	  0.287	  0.389
ENSG00000155366	  0.138	  0.387
ENSG00000215529	  0.131	  0.386
ENSG00000028277	  0.195	  0.386
ENSG00000111328	  0.182	  0.385
ENSG00000133104	  0.109	  0.382
ENSG00000180667	  0.360	  0.382
ENSG00000158234	  0.282	  0.381
ENSG00000159588	  0.122	  0.380
ENSG00000156381	  0.200	  0.374
ENSG00000277791	  0.198	  0.374
ENSG00000138686	  0.360	  0.372
ENSG00000269893	  0.235	  0.371
ENSG00000152465	  0.346	  0.370
ENSG00000254602	  0.070	  0.369
ENSG00000213593	  0.284	  0.364
ENSG00000055044	  0.166	  0.364
ENSG00000160570	  0.070	  0.362
ENSG00000168769	  0.052	  0.359
ENSG00000185745	  0.158	  0.357
ENSG00000137098	  0.356	  0.356
ENSG00000025800	  0.112	  0.356
ENSG00000196678	  0.183	  0.355
ENSG00000105176	  0.113	  0.354
ENSG00000135473	  0.087	  0.352
ENSG00000117682	  0.023	  0.351
ENSG00000183682	  0.339	  0.351
ENSG00000149679	  0.274	  0.349
ENSG00000173662	  0.104	  0.348
ENSG00000119950	  0.340	  0.345
ENSG00000071967	  0.002	  0.345
ENSG00000234478	  0.298	  0.344
ENSG00000101019	  0.003	  0.335
ENSG00000174282	  0.327	  0.335
ENSG00000281026	  0.103	  0.334
ENSG00000148468	  0.333	  0.333
ENSG00000166913	  0.211	  0.332
ENSG00000273483	  0.117	  0.329
ENSG00000177025	  0.326	  0.328
ENSG00000152778	  0.206	  0.327
ENSG00000106153	  0.158	  0.325
ENSG00000107779	  0.322	  0.323
ENSG00000123836	  0.118	  0.323
ENSG00000162408	  0.122	  0.322
ENSG00000105668	  0.150	  0.319
ENSG00000151917	  0.211	  0.318
ENSG00000234902	  0.122	  0.317
ENSG00000258942	  0.117	  0.317
ENSG00000259520	  0.052	  0.314
ENSG00000233232	  0.216	  0.314
ENSG00000006747	  0.056	  0.313
ENSG00000137501	  0.018	  0.308
ENSG00000231473	  0.103	  0.306
ENSG00000165119	  0.084	  0.305
ENSG00000176236	  0.023	  0.304
ENSG00000143590	  0.269	  0.297
ENSG00000133874	  0.297	  0.297
ENSG00000182004	  0.038	  0.292
ENSG00000149257	  0.205	  0.291
ENSG00000278023	  0.140	  0.289
ENSG00000162736	  0.103	  0.289
ENSG00000055163	  0.104	  0.289
ENSG00000130227	  0.131	  0.289
ENSG00000164855	  0.246	  0.288
ENSG00000166532	  0.112	  0.286
ENSG00000238181	  0.116	  0.285
ENSG00000092108	  0.207	  0.284
ENSG00000182923	  0.078	  0.283
ENSG00000106976	  0.281	  0.282
ENSG00000168297	  0.078	  0.281
ENSG00000114650	  0.277	  0.277
ENSG00000106823	  0.109	  0.277
ENSG00000140464	  0.076	  0.275
ENSG00000137312	  0.108	  0.275
ENSG00000142046	  0.008	  0.274
ENSG00000188603	  0.077	  0.274
ENSG00000110218	  0.081	  0.273
ENSG00000253476	  0.077	  0.272
ENSG00000157578	  0.248	  0.270
ENSG00000129103	  0.104	  0.270
ENSG00000177354	  0.149	  0.270
ENSG00000135049	  0.106	  0.269
ENSG00000256229	  0.197	  0.268
ENSG00000006453	  0.123	  0.266
ENSG00000213523	  0.160	  0.266
ENSG00000197128	  0.264	  0.264
ENSG00000168255	  0.263	  0.263
ENSG00000151575	  0.091	  0.262
ENSG00000235381	  0.228	  0.262
ENSG00000069482	  0.027	  0.260
ENSG00000120693	  0.219	  0.258
ENSG00000198586	  0.026	  0.257
ENSG00000120833	  0.002	  0.257
ENSG00000162676	  0.043	  0.256
ENSG00000075539	  0.133	  0.256
ENSG00000262877	  0.168	  0.254
ENSG00000270951	  0.168	  0.253
ENSG00000142627	  0.112	  0.253
ENSG00000103528	  0.073	  0.251
ENSG00000138835	  0.112	  0.251
ENSG00000230532	  0.003	  0.251
ENSG00000012660	  0.242	  0.251
ENSG00000260086	  0.027	  0.249
ENSG00000079739	  0.197	  0.249
ENSG00000118094	  0.002	  0.248
ENSG00000122218	  0.096	  0.248
ENSG00000138942	  0.130	  0.247
ENSG00000262223	  0.051	  0.244
ENSG00000214193	  0.035	  0.240
ENSG00000203965	  0.074	  0.235
ENSG00000229951	  0.029	  0.235
ENSG00000270424	  0.138	  0.234
ENSG00000257773	  0.089	  0.231
ENSG00000267280	  0.021	  0.231
ENSG00000185800	  0.198	  0.230
ENSG00000169683	  0.165	  0.229
ENSG00000234329	  0.082	  0.229
ENSG00000002726	  0.003	  0.228
ENSG00000206417	  0.105	  0.228
ENSG00000197713	  0.113	  0.227
ENSG00000243444	  0.073	  0.227
ENSG00000134152	  0.109	  0.225
ENSG00000213988	  0.221	  0.225
ENSG00000269903	  0.012	  0.223
ENSG00000229108	  0.067	  0.222
ENSG00000214894	  0.108	  0.220
ENSG00000250569	  0.046	  0.220
ENSG00000100330	  0.152	  0.219
ENSG00000198873	  0.194	  0.219
ENSG00000110906	  0.183	  0.218
ENSG00000248514	  0.114	  0.217
ENSG00000103811	  0.215	  0.217
ENSG00000111252	  0.009	  0.216
ENSG00000246695	  0.084	  0.215
ENSG00000197647	  0.037	  0.214
ENSG00000137261	  0.154	  0.214
ENSG00000126246	  0.072	  0.213
ENSG00000144580	  0.092	  0.213
ENSG00000234906	  0.172	  0.211
ENSG00000278893	  0.018	  0.210
ENSG00000171150	  0.076	  0.210
ENSG00000112304	  0.171	  0.209
ENSG00000127947	  0.092	  0.208
ENSG00000114491	  0.182	  0.206
ENSG00000134852	  0.113	  0.206
ENSG00000254088	  0.063	  0.205
ENSG00000115568	  0.072	  0.204
ENSG00000115648	  0.056	  0.203
ENSG00000170458	  0.036	  0.202
ENSG00000160961	  0.163	  0.201
ENSG00000149577	  0.088	  0.201
ENSG00000181449	  0.166	  0.201
ENSG00000184451	  0.004	  0.200
ENSG00000088179	  0.133	  0.199
ENSG00000115226	  0.001	  0.198
ENSG00000272918	  0.129	  0.198
ENSG00000100170	  0.065	  0.198
ENSG00000136280	  0.063	  0.196
ENSG00000115556	  0.088	  0.195
ENSG00000104936	  0.153	  0.195
ENSG00000277363	  0.148	  0.195
ENSG00000182827	  0.164	  0.191
ENSG00000177963	  0.121	  0.189
ENSG00000121775	  0.101	  0.189
ENSG00000249816	  0.179	  0.186
ENSG00000267279	  0.163	  0.186
ENSG00000149926	  0.008	  0.184
ENSG00000100284	  0.034	  0.181
ENSG00000259953	  0.066	  0.181
ENSG00000006576	  0.027	  0.180
ENSG00000074695	  0.008	  0.180
ENSG00000136824	  0.111	  0.180
ENSG00000009844	  0.080	  0.179
ENSG00000103363	  0.005	  0.179
ENSG00000141380	  0.136	  0.178
ENSG00000156136	  0.074	  0.176
ENSG00000138696	  0.042	  0.173
ENSG00000251417	  0.172	  0.172
ENSG00000088826	  0.021	  0.172
ENSG00000083097	  0.125	  0.172
ENSG00000178952	  0.151	  0.172
ENSG00000109472	  0.128	  0.171
ENSG00000127863	  0.105	  0.170
ENSG00000214184	  0.027	  0.170
ENSG00000196296	  0.117	  0.170
ENSG00000205861	  0.058	  0.169
ENSG00000116032	  0.145	  0.169
ENSG00000261019	  0.066	  0.168
ENSG00000123843	  0.108	  0.167
ENSG00000035681	  0.166	  0.166
ENSG00000004487	  0.081	  0.165
ENSG00000188322	  0.021	  0.165
ENSG00000018189	  0.074	  0.165
ENSG00000240654	  0.079	  0.162
ENSG00000127663	  0.021	  0.161
ENSG00000279982	  0.092	  0.160
ENSG00000270137	  0.066	  0.159
ENSG00000237923	  0.020	  0.159
ENSG00000148672	  0.159	  0.159
ENSG00000242970	  0.070	  0.158
ENSG00000131165	  0.158	  0.158
ENSG00000040933	  0.075	  0.158
ENSG00000183513	  0.053	  0.158
ENSG00000198535	  0.030	  0.156
ENSG00000136828	  0.079	  0.154
ENSG00000261652	  0.046	  0.152
ENSG00000196262	  0.073	  0.151
ENSG00000078237	  0.151	  0.151
ENSG00000185684	  0.150	  0.151
ENSG00000129596	  0.150	  0.150
ENSG00000125505	  0.047	  0.150
ENSG00000003400	  0.071	  0.149
ENSG00000143727	  0.008	  0.149
ENSG00000168936	  0.030	  0.149
ENSG00000067606	  0.011	  0.147
ENSG00000107611	  0.115	  0.146
ENSG00000185808	  0.135	  0.146
ENSG00000251611	  0.059	  0.145
ENSG00000075568	  0.028	  0.145
ENSG00000269906	  0.092	  0.145
ENSG00000280294	  0.030	  0.145
ENSG00000226291	  0.108	  0.143
ENSG00000198156	  0.045	  0.142
ENSG00000238121	  0.105	  0.140
ENSG00000197165	  0.036	  0.140
ENSG00000177410	  0.106	  0.139
ENSG00000256913	  0.113	  0.139
ENSG00000272674	  0.092	  0.138
ENSG00000205726	  0.038	  0.138
ENSG00000241549	  0.070	  0.137
ENSG00000258301	  0.077	  0.137
ENSG00000101557	  0.051	  0.136
ENSG00000267114	  0.012	  0.136
ENSG00000213626	  0.050	  0.135
ENSG00000169554	  0.129	  0.133
ENSG00000279375	  0.046	  0.132
ENSG00000162738	  0.073	  0.132
ENSG00000140577	  0.069	  0.132
ENSG00000108604	  0.000	  0.131
ENSG00000152359	  0.067	  0.131
ENSG00000229519	  0.017	  0.131
ENSG00000137575	  0.056	  0.131
ENSG00000233885	  0.090	  0.130
ENSG00000100890	  0.129	  0.130
ENSG00000127329	  0.121	  0.128
ENSG00000172247	  0.092	  0.128
ENSG00000279539	  0.036	  0.127
ENSG00000156603	  0.127	  0.127
ENSG00000248278	  0.057	  0.127
ENSG00000233266	  0.126	  0.126
ENSG00000163946	  0.021	  0.125
ENSG00000275830	  0.091	  0.125
ENSG00000127831	  0.016	  0.125
ENSG00000260231	  0.011	  0.125
ENSG00000074582	  0.080	  0.124
ENSG00000101639	  0.092	  0.123
ENSG00000268416	  0.073	  0.122
ENSG00000169641	  0.042	  0.122
ENSG00000152464	  0.016	  0.122
ENSG00000180834	  0.092	  0.121
ENSG00000083535	  0.033	  0.121
ENSG00000072135	  0.072	  0.121
ENSG00000129055	  0.091	  0.120
ENSG00000220785	  0.059	  0.120
ENSG00000134824	  0.024	  0.120
ENSG00000062485	  0.022	  0.120
ENSG00000073670	  0.007	  0.119
ENSG00000115091	  0.068	  0.118
ENSG00000225447	  0.022	  0.117
ENSG00000243056	  0.086	  0.117
ENSG00000257315	  0.037	  0.117
ENSG00000181472	  0.007	  0.116
ENSG00000132915	  0.066	  0.116
ENSG00000118496	  0.032	  0.116
ENSG00000177675	  0.053	  0.115
ENSG00000130958	  0.008	  0.113
ENSG00000187531	  0.007	  0.111
ENSG00000051825	  0.016	  0.111
ENSG00000175756	  0.011	  0.111
ENSG00000258920	  0.109	  0.110
ENSG00000204049	  0.067	  0.110
ENSG00000135211	  0.051	  0.109
ENSG00000116198	  0.076	  0.109
ENSG00000158220	  0.035	  0.109
ENSG00000272156	  0.009	  0.108
ENSG00000102781	  0.081	  0.108
ENSG00000187773	  0.055	  0.108
ENSG00000230630	  0.007	  0.107
ENSG00000171824	  0.019	  0.107
ENSG00000160055	  0.025	  0.107
ENSG00000198160	  0.020	  0.106
ENSG00000005471	  0.028	  0.105
ENSG00000166105	  0.088	  0.104
ENSG00000145088	  0.040	  0.104
ENSG00000115446	  0.057	  0.104
ENSG00000144681	  0.070	  0.103
ENSG00000273176	  0.017	  0.102
ENSG00000257279	  0.037	  0.102
ENSG00000072062	  0.064	  0.102
ENSG00000245573	  0.075	  0.101
ENSG00000147912	  0.043	  0.101
ENSG00000174173	  0.054	  0.100
ENSG00000170634	  0.019	  0.100
ENSG00000170802	  0.100	  0.100
ENSG00000166436	  0.100	  0.100
ENSG00000266969	  0.029	  0.100
ENSG00000111142	  0.034	  0.099
ENSG00000114200	  0.055	  0.098
ENSG00000143314	  0.039	  0.098
ENSG00000059378	  0.021	  0.097
ENSG00000107263	  0.025	  0.097
ENSG00000255303	  0.049	  0.097
ENSG00000273199	  0.096	  0.096
ENSG00000084652	  0.021	  0.096
ENSG00000176155	  0.068	  0.096
ENSG00000143641	  0.022	  0.096
ENSG00000196715	  0.078	  0.096
ENSG00000136720	  0.073	  0.096
ENSG00000272008	  0.045	  0.095
ENSG00000099139	  0.005	  0.095
ENSG00000198879	  0.053	  0.095
ENSG00000133433	  0.076	  0.095
ENSG00000121068	  0.005	  0.095
ENSG00000184110	  0.037	  0.094
ENSG00000125826	  0.082	  0.093
ENSG00000099956	  0.048	  0.092
ENSG00000112941	  0.036	  0.092
ENSG00000186230	  0.091	  0.092
ENSG00000273456	  0.054	  0.091
ENSG00000276449	  0.091	  0.091
ENSG00000084734	  0.000	  0.091
ENSG00000163161	  0.059	  0.090
ENSG00000272343	  0.002	  0.090
ENSG00000080345	  0.070	  0.089
ENSG00000121542	  0.010	  0.088
ENSG00000225527	  0.021	  0.088
ENSG00000087301	  0.026	  0.088
ENSG00000022567	  0.004	  0.088
ENSG00000106591	  0.034	  0.088
ENSG00000142856	  0.036	  0.088
ENSG00000107404	  0.005	  0.088
ENSG00000075711	  0.054	  0.087
ENSG00000012232	  0.031	  0.087
ENSG00000164850	  0.086	  0.087
ENSG00000108797	  0.015	  0.087
ENSG00000088387	  0.027	  0.087
ENSG00000107798	  0.056	  0.087
ENSG00000255442	  0.081	  0.086
ENSG00000272183	  0.034	  0.085
ENSG00000259705	  0.003	  0.085
ENSG00000279377	  0.027	  0.084
ENSG00000257702	  0.031	  0.084
ENSG00000197747	  0.029	  0.084
ENSG00000139921	  0.013	  0.084
ENSG00000167112	  0.054	  0.084
ENSG00000173226	  0.049	  0.084
ENSG00000170448	  0.067	  0.084
ENSG00000147548	  0.016	  0.084
ENSG00000108639	  0.026	  0.084
ENSG00000103037	  0.030	  0.083
ENSG00000176340	  0.026	  0.083
ENSG00000225637	  0.080	  0.083
ENSG00000160882	  0.011	  0.082
ENSG00000205710	  0.040	  0.082
ENSG00000225111	  0.055	  0.082
ENSG00000255310	  0.038	  0.082
ENSG00000142319	  0.054	  0.081
ENSG00000214855	  0.081	  0.081
ENSG00000260442	  0.020	  0.081
ENSG00000149328	  0.079	  0.080
ENSG00000145386	  0.006	  0.080
ENSG00000241313	  0.023	  0.080
ENSG00000171903	  0.040	  0.079
ENSG00000273295	  0.061	  0.079
ENSG00000106537	  0.019	  0.079
ENSG00000149923	  0.006	  0.079
ENSG00000144362	  0.036	  0.079
ENSG00000173480	  0.071	  0.078
ENSG00000153317	  0.029	  0.078
ENSG00000231672	  0.033	  0.078
ENSG00000123124	  0.016	  0.078
ENSG00000248734	  0.060	  0.078
ENSG00000154479	  0.021	  0.078
ENSG00000163945	  0.078	  0.078
ENSG00000249244	  0.021	  0.077
ENSG00000115590	  0.061	  0.077
ENSG00000223547	  0.031	  0.077
ENSG00000111752	  0.012	  0.077
ENSG00000121988	  0.025	  0.077
ENSG00000179528	  0.039	  0.077
ENSG00000075975	  0.056	  0.077
ENSG00000279407	  0.037	  0.077
ENSG00000121594	  0.017	  0.077
ENSG00000136156	  0.030	  0.076
ENSG00000225039	  0.060	  0.076
ENSG00000269918	  0.050	  0.076
ENSG00000089693	  0.016	  0.076
ENSG00000114115	  0.005	  0.075
ENSG00000101057	  0.011	  0.075
ENSG00000226026	  0.062	  0.075
ENSG00000270116	  0.024	  0.075
ENSG00000145335	  0.014	  0.074
ENSG00000115275	  0.038	  0.074
ENSG00000236136	  0.023	  0.074
ENSG00000235413	  0.011	  0.073
ENSG00000167770	  0.022	  0.073
ENSG00000006459	  0.022	  0.073
ENSG00000175215	  0.022	  0.072
ENSG00000203872	  0.042	  0.072
ENSG00000276952	  0.020	  0.072
ENSG00000010292	  0.010	  0.071
ENSG00000187792	  0.014	  0.071
ENSG00000155906	  0.057	  0.071
ENSG00000087884	  0.061	  0.071
ENSG00000124203	  0.005	  0.071
ENSG00000124541	  0.009	  0.071
ENSG00000205155	  0.020	  0.070
ENSG00000090530	  0.053	  0.070
ENSG00000188290	  0.000	  0.070
ENSG00000248896	  0.007	  0.070
ENSG00000099977	  0.058	  0.069
ENSG00000222365	  0.033	  0.068
ENSG00000279692	  0.027	  0.068
ENSG00000112182	  0.059	  0.068
ENSG00000267316	  0.030	  0.067
ENSG00000181222	  0.003	  0.067
ENSG00000240634	  0.017	  0.067
ENSG00000161265	  0.060	  0.067
ENSG00000203943	  0.066	  0.067
ENSG00000146085	  0.044	  0.067
ENSG00000245534	  0.035	  0.067
ENSG00000134533	  0.022	  0.067
ENSG00000143771	  0.065	  0.066
ENSG00000123080	  0.013	  0.066
ENSG00000123600	  0.003	  0.065
ENSG00000119537	  0.042	  0.064
ENSG00000232956	  0.049	  0.064
ENSG00000235897	  0.042	  0.063
ENSG00000186642	  0.053	  0.063
ENSG00000182670	  0.023	  0.063
ENSG00000272894	  0.058	  0.063
ENSG00000101220	  0.003	  0.063
ENSG00000279541	  0.033	  0.063
ENSG00000260673	  0.061	  0.062
ENSG00000068137	  0.027	  0.062
ENSG00000237399	  0.054	  0.062
ENSG00000267583	  0.017	  0.062
ENSG00000033178	  0.015	  0.062
ENSG00000267672	  0.011	  0.062
ENSG00000242259	  0.021	  0.062
ENSG00000180773	  0.054	  0.061
ENSG00000275881	  0.004	  0.060
ENSG00000146122	  0.019	  0.060
ENSG00000249212	  0.012	  0.060
ENSG00000071282	  0.006	  0.060
ENSG00000235652	  0.025	  0.060
ENSG00000257718	  0.039	  0.059
ENSG00000179979	  0.059	  0.059
ENSG00000151748	  0.024	  0.059
ENSG00000135968	  0.053	  0.058
ENSG00000239264	  0.001	  0.058
ENSG00000151498	  0.045	  0.058
ENSG00000050628	  0.015	  0.058
ENSG00000226261	  0.016	  0.058
ENSG00000112651	  0.009	  0.058
ENSG00000175121	  0.022	  0.058
ENSG00000136710	  0.049	  0.058
ENSG00000092020	  0.056	  0.058
ENSG00000225282	  0.053	  0.058
ENSG00000240230	  0.040	  0.058
ENSG00000182264	  0.035	  0.058
ENSG00000213123	  0.038	  0.057
ENSG00000139540	  0.021	  0.057
ENSG00000225695	  0.022	  0.057
ENSG00000150867	  0.033	  0.056
ENSG00000231205	  0.054	  0.056
ENSG00000237273	  0.021	  0.056
ENSG00000278896	  0.013	  0.056
ENSG00000168676	  0.006	  0.056
ENSG00000226510	  0.056	  0.056
ENSG00000272463	  0.050	  0.056
ENSG00000027001	  0.055	  0.055
ENSG00000031691	  0.039	  0.055
ENSG00000109099	  0.008	  0.055
ENSG00000115875	  0.002	  0.055
ENSG00000174738	  0.055	  0.055
ENSG00000115274	  0.040	  0.055
ENSG00000237082	  0.055	  0.055
ENSG00000084623	  0.018	  0.055
ENSG00000105609	  0.004	  0.055
ENSG00000120370	  0.031	  0.055
ENSG00000213047	  0.008	  0.054
ENSG00000234353	  0.024	  0.054
ENSG00000204682	  0.017	  0.054
ENSG00000272966	  0.015	  0.054
ENSG00000196584	  0.054	  0.054
ENSG00000055208	  0.035	  0.053
ENSG00000128908	  0.003	  0.053
ENSG00000144566	  0.030	  0.053
ENSG00000106511	  0.013	  0.053
ENSG00000240972	  0.051	  0.053
ENSG00000111850	  0.038	  0.053
ENSG00000185290	  0.046	  0.053
ENSG00000178209	  0.003	  0.053
ENSG00000230433	  0.053	  0.053
ENSG00000178177	  0.006	  0.053
ENSG00000218537	  0.051	  0.053
ENSG00000177548	  0.033	  0.053
ENSG00000106868	  0.052	  0.053
ENSG00000014824	  0.009	  0.053
ENSG00000139116	  0.015	  0.052
ENSG00000213145	  0.052	  0.052
ENSG00000099219	  0.013	  0.052
ENSG00000277548	  0.017	  0.052
ENSG00000116652	  0.024	  0.052
ENSG00000280120	  0.006	  0.051
ENSG00000171786	  0.009	  0.051
ENSG00000168005	  0.049	  0.051
ENSG00000201403	  0.007	  0.051
ENSG00000145911	  0.040	  0.051
ENSG00000274554	  0.011	  0.051
ENSG00000092009	  0.009	  0.051
ENSG00000218227	  0.049	  0.050
ENSG00000159592	  0.007	  0.050
ENSG00000149929	  0.002	  0.050
ENSG00000189269	  0.047	  0.050
ENSG00000125755	  0.002	  0.050
ENSG00000188171	  0.026	  0.050
ENSG00000136238	  0.040	  0.049
ENSG00000133067	  0.015	  0.049
ENSG00000215018	  0.023	  0.049
ENSG00000197479	  0.001	  0.049
ENSG00000166960	  0.006	  0.048
ENSG00000228541	  0.008	  0.048
ENSG00000120697	  0.009	  0.048
ENSG00000204677	  0.041	  0.047
ENSG00000273720	  0.032	  0.047
ENSG00000135341	  0.046	  0.047
ENSG00000197134	  0.028	  0.047
ENSG00000232888	  0.011	  0.047
